0	-2.0513e-09
0.048	-4.3462e-09
0.096	-9.9798e-09
0.144	-2.0444e-08
0.192	-4.3733e-08
0.24	-8.6376e-08
0.288	-1.7411e-07
0.336	-3.3131e-07
0.384	-6.3426e-07
0.432	-1.1631e-06
0.48	-2.1268e-06
0.528	-3.7618e-06
0.576	-6.5985e-06
0.624	-1.1271e-05
0.672	-1.9029e-05
0.72	-3.1427e-05
0.768	-5.2921e-05
0.816	-8.7351e-05
0.864	-0.00014201
0.912	-0.00022682
0.96	-0.00035677
1.008	-0.00055224
1.056	-0.00084201
1.104	-0.0012649
1.152	-0.0018726
1.2	-0.0027338
1.248	-0.0039354
1.296	-0.0055909
1.344	-0.0078367
1.392	-0.010848
1.44	-0.014825
1.488	-0.020019
1.536	-0.026708
1.584	-0.035229
1.632	-0.045939
1.68	-0.05926
1.728	-0.075629
1.776	-0.095537
1.824	-0.11948
1.872	-0.14801
1.92	-0.18164
1.968	-0.22095
2.016	-0.26649
2.064	-0.3188
2.112	-0.37843
2.16	-0.44591
2.208	-0.52178
2.256	-0.60654
2.304	-0.7007
2.352	-0.80478
2.4	-0.91929
2.448	-1.0447
2.496	-1.1816
2.544	-1.3304
2.592	-1.4917
2.64	-1.666
2.688	-1.8538
2.736	-2.0554
2.784	-2.2714
2.832	-2.5022
2.88	-2.748
2.928	-3.0093
2.976	-3.2862
3.024	-3.5789
3.072	-3.8875
3.12	-4.2122
3.168	-4.5531
3.216	-4.91
3.264	-5.2831
3.312	-5.6723
3.36	-6.0775
3.408	-6.4987
3.456	-6.9358
3.504	-7.3887
3.552	-7.8573
3.6	-8.3415
3.648	-8.8411
3.696	-9.3559
3.744	-9.886
3.792	-10.431
3.84	-10.991
3.888	-11.565
3.936	-12.153
3.984	-12.755
4.032	-13.371
4.08	-14.001
4.128	-14.643
4.176	-15.297
4.224	-15.964
4.272	-16.643
4.32	-17.332
4.368	-18.032
4.416	-18.743
4.464	-19.463
4.512	-20.191
4.56	-20.929
4.608	-21.674
4.656	-22.426
4.704	-23.185
4.752	-23.95
4.8	-24.72
4.848	-25.494
4.896	-26.272
4.944	-27.052
4.992	-27.835
5.04	-28.618
5.088	-29.402
5.136	-30.185
5.184	-30.966
5.232	-31.745
5.28	-32.52
5.328	-33.292
5.376	-34.058
5.424	-34.818
5.472	-35.57
5.52	-36.315
5.568	-37.05
5.616	-37.775
5.664	-38.489
5.712	-39.191
5.76	-39.879
5.808	-40.553
5.856	-41.212
5.904	-41.854
5.952	-42.48
6	-43.087
6.048	-43.674
6.096	-44.242
6.144	-44.789
6.192	-45.313
6.24	-45.815
6.288	-46.292
6.336	-46.745
6.384	-47.172
6.432	-47.573
6.48	-47.946
6.528	-48.291
6.576	-48.607
6.624	-48.894
6.672	-49.15
6.72	-49.376
6.768	-49.57
6.816	-49.732
6.864	-49.861
6.912	-49.957
6.96	-50.02
7.008	-50.049
7.056	-50.043
7.104	-50.002
7.152	-49.927
7.2	-49.816
7.248	-49.67
7.296	-49.489
7.344	-49.272
